109	ALİ NİZAMOĞLU BİNASI	DIŞ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞLEMİ	ARNAVUTKÖY	1993
110	OCAK APT.	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	OSMANBEY	1993
111	AZRAK BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	ŞİŞLİ	1993
112	ANDON PERA BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	TAKSİM	1993
113	ENGİN KONAK APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ULUS	1993
114	B. ÇAMLICA KURAN KURSU BİNASI	TEMEL YALITIM İŞLEMİ	ÇAMLICA	1993
115	KIRKLAR ÖĞR. YURDU BİNASI	TERAS YALITIM İŞLEMİ	GÜLTEPE	1993
116	ÇELEBİLER APT.	DIŞ, İÇ CEPHE ONARIM, BOYA VE TERAS YALITIM İŞL.	AYASPAŞA	1993
117	DENGE DENETİM YMM. AŞ BİNASI	İÇ DEKORASYON İŞLEMİ	KASIMPAŞA	1993
118	EM. SUBAY EVL. 60. BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ESENTEPE	1993
119	BEYAZ KONAK APT.	DIŞ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞLEMİ	ULUS	1993
120	MUKADDES 2 APT.	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	GÖZTEPE	1993
121	BAŞER COLGATE BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KOZYATAĞI	1993
122	İNTERBANK GENEL MÜD. BİNASI	ÇATI ONARIM VE YALITIM İŞLEMİ	ESENTEPE	1993
123	KAPTAN APT.	ÇATI ONARIM VE YALITIM İŞLEMİ	SUADİYE	1993
124	SAMİ FRESKO BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ULUS	1993
125	AYDIN SARAY İŞ HANI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BEYAZIT	1993
126	MERİÇ KURTBÜKE VİLLA	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ETİLER	1993
127	DR. FERHAT AKAT VİLLA	ÇATI ONARIM VE YALITIM İŞLEMİ	LEVENT	1993
128	KENT APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	LEVENT	1993
129	GÜVENÇ ÇİFTLİĞİ	PERDE İZOLASYOLU	KURTKÖY	1993
130	KUDRET APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BAKIRKÖY	1993
131	HATİPOĞLU APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	FENERYOLU	1993
132	BEYAZYALI APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KÜÇÜKÇEKMECE	1993
133	ARAP TÜRK BANKASI BİNASI	DIŞ CEPHE ONARIM, BOYA VE MERMER KAPLAMA 	NİŞANTAŞI	1993
134	DOSTLAR APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SUADİYE	1993
135	MURAT APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SELAMİÇEŞME	1993
136	FUATBEY APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SELAMİÇEŞME	1993
137	FATİH KOLEJİ	DIŞ CEPHE KISMİ ONARIM VE BOYA İŞLEMİ	FATİH	1993
138	A.TAMER AZAK İNŞ. BİNASI	DIŞ CEPHE ONARIM, BOYA VE TERAS YALITIM İŞLEMİ	BEŞİKTAŞ	1993
139	AKŞİT ÖĞR. YURDU BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	TAKSİM	1993
140	TABAKÇI ÖĞR. YURDU BİNASI	ÇATI VE TERAS ONARIM, YALITIM İŞLEMİ	TAKSİM	1993
141	PAKİSTAN HAVA YOLLARI BİNASI	TERAS YALITIM İŞLEMİ	TAKSİM	1994
142	AK SANAYİ SİT. 2. KISIM	TERAS YALITIM İŞLEMİ	ÜMRANİYE	1994
